"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"1032",-2.33772512107036,8.36627673699569,-10.8975245212775,6.49753051543323e-19,8.11332638765732e-15,32.1615979954748,"DOWN"
"18898",-5.03278225195851,5.76908125579016,-10.8621426344124,7.79228427550645e-19,8.11332638765732e-15,31.9884343318747,"DOWN"
"7203",3.2045957444625,11.1873300529243,9.88666230529033,1.18169459517499e-16,8.20253608330796e-13,27.1958599517106,"UP"
"20328",-2.30136582996243,8.2590401009188,-9.48236527743564,9.47637646851022e-16,3.94672127160514e-12,25.2054398925663,"DOWN"
"13286",-5.3378083461587,3.33002610776098,-9.07564805141769,7.65799213070897e-15,1.99337535162354e-11,23.2060910595073,"DOWN"
"11292",-2.2179600330665,9.63955993362406,-8.85818196649181,2.33274186577723e-14,5.39744629032724e-11,22.1397649518163,"DOWN"
"6457",-3.22110821673313,7.76145736543065,-8.7257334832858,4.59022599515121e-14,9.55868661230288e-11,21.4916349410916,"DOWN"
"19716",-3.84039756557702,6.29282694508815,-8.62622279064393,7.62631640009188e-14,1.44373102468648e-10,21.005466122143,"DOWN"
"373",-2.7313251025465,8.22170634224298,-8.58030646403122,9.63672313808351e-14,1.67229268856209e-10,20.7813867340695,"DOWN"
"11187",3.47246084683655,11.434253801062,8.34945834995979,3.11552519688548e-13,4.63412119285308e-10,19.6575000550914,"UP"
"2679",2.46327571640138,9.44101239538953,8.16827920845797,7.79495523663687e-13,9.53605606274305e-10,18.7790233476084,"UP"
"1843",-2.17326314134815,8.27862466148261,-8.1189227213941,1.00006525925482e-12,1.05556178293615e-09,18.5403299894285,"DOWN"
"18802",2.99175231659436,8.8487119855562,8.11622040351158,1.01379349110271e-12,1.05556178293615e-09,18.5272694056903,"UP"
"12682",-2.4852704969607,9.73694189945027,-7.93433071588291,2.53258520043846e-12,2.51135972447288e-09,17.6502283188696,"DOWN"
"585",-2.36197155310937,7.62779247554008,-7.90241294937122,2.97261614797971e-12,2.81371630297862e-09,17.4967646074789,"DOWN"
"5926",-4.8369064847668,8.39743016629442,-7.82867766812917,4.30158181163713e-12,3.89461476719703e-09,17.1427717579744,"DOWN"
"13029",-3.00856220150943,9.39630456184286,-7.72063874118945,7.38160838221854e-12,5.91210049812765e-09,16.6255002955767,"DOWN"
"8096",2.36516590525797,9.6961302365567,7.70602597513254,7.93983620959828e-12,6.12367219365462e-09,16.5556708584715,"UP"
"4689",-2.96347025139286,9.12041128077803,-7.66334808599826,9.82188614891817e-12,7.05279162638179e-09,16.3519167243221,"DOWN"
"4378",3.19761663551194,9.07117700120357,7.63337678910512,1.14024090860436e-11,7.45597732574311e-09,16.2089980757303,"UP"
"419",-2.04481160697212,9.2100392126689,-7.63240790678728,1.14575141386755e-11,7.45597732574311e-09,16.2043803363339,"DOWN"
"11505",2.03379988536983,10.1894294478951,7.52912648768046,1.91378762474955e-11,1.16703464315297e-08,15.7130185459396,"UP"
"6997",-5.00479658181881,5.90285293290718,-7.52416006173582,1.96149695113109e-11,1.16703464315297e-08,15.6894357515742,"DOWN"
"2898",3.34465630165261,9.81919320746126,7.51620968133242,2.04034127604403e-11,1.18022407589836e-08,15.6516926051067,"UP"
"17939",-3.80301192402496,7.11733775857051,-7.44776113781574,2.86322146541492e-11,1.56904536304738e-08,15.3271986258189,"DOWN"
"5925",-3.94060061443555,9.81822487047723,-7.44035764492138,2.96995101523392e-11,1.58580153695465e-08,15.292150458746,"DOWN"
"12145",2.53182809136352,9.69241422562852,7.41876441053835,3.30432240896054e-11,1.72023024610486e-08,15.1899842645351,"UP"
"12452",-2.16897531418793,7.86156297775738,-7.37636534032767,4.07333867429404e-11,2.06885864764632e-08,14.9896244119171,"DOWN"
"8348",2.41016723970896,9.33749055314813,7.36723998316989,4.26077489178357e-11,2.11253277015479e-08,14.9465452623738,"UP"
"5957",2.89858306481507,8.43928914373498,7.34141043927012,4.83898746888533e-11,2.32701514263365e-08,14.8246931591158,"UP"
"14729",2.05039354286373,10.6751060963843,7.33445398932108,5.00759689580771e-11,2.32701514263365e-08,14.7918972736453,"UP"
"20617",-3.16608175813642,7.29020223356749,-7.28405804659622,6.41606907156027e-11,2.7835046322119e-08,14.5545842544943,"DOWN"
"8338",2.75554004103832,9.39196218807531,7.23236350976423,8.26907865442616e-11,3.38396927517001e-08,14.3116708158365,"UP"
"14732",2.2367714765825,6.92336855805054,7.201497188006,9.61918505021157e-11,3.77943225444539e-08,14.1668837686647,"UP"
