"","group","filter","genes","logFC","logCPM","LR","PValue"
"33",1,"33","ABCA1",3.67119665070627,6.65838366948238,29.9185086182387,4.50590970322076e-08
"44",-1,"44","ABCA8",-2.14158017731237,2.6594289207325,13.0969638556313,0.000295774763987436
"70",1,"70","ABCD3",1.90634885582741,5.62739776359925,12.7756111698783,0.000351167864576578
"123",-1,"123","ACAA2",-2.06031906644884,2.67015905447693,11.3613013839909,0.000749902615042707
"152",-1,"152","ACKR1",-3.0969711391171,4.86200379523672,14.399484874963,0.000147842747529533
"207",-1,"207","ACTG2",-2.15381310275522,6.16868598032975,11.3058220998652,0.000772644305876357
"215",1,"215","ACTN1",2.55790437019226,7.3189608593744,13.944373679768,0.000188300383392072
"222",1,"222","ACTR2",2.74805236709919,7.68812800712774,12.2240887035667,0.000471764308760322
"272",1,"272","ADAM8",2.06087213151958,5.42842275678955,14.9099659220488,0.000112765693761127
"274",1,"274","ADAMDEC1",2.00915701730122,6.52777625024923,12.2015169550983,0.000477506714630927
"276",-1,"276","ADAMTS10",-2.46537316305678,2.79879682762751,12.0157018275469,0.000527542193061389
"418",1,"418","AFDN",1.99763454436848,6.1561299018158,14.0938730134966,0.00017390934901401
"420",-1,"420","AFF1",-2.04822706573124,6.33425746394971,14.6772978784881,0.000127573624660325
"479",-1,"479","AHDC1",-1.79007566288627,2.16076558859567,11.2871986832057,0.000780433510129928
"482",1,"482","AHNAK",3.89730583177142,6.22474172657676,11.088564424258,0.000868617011638769
"539",-1,"539","AKR1C1",-2.05668200618325,3.4282307107589,10.9124442470976,0.000955204076620112
"561",-1,"561","ALDH1A2",-4.0880193028195,7.09618472133931,18.1416536029862,2.05066247509879e-05
"763",-1,"763","ANKRD9",-2.85334827946637,4.29551288222748,13.5522104976297,0.00023201800509394
"771",1,"771","ANLN",1.69586798708635,6.95109726587762,10.8214587360608,0.00100330409030957
"775",1,"775","ANO3",2.26292646333163,1.55455007224303,11.2589405283657,0.000792404254278462
"794",-1,"794","ANTXR2",-4.13420090475576,6.71147083097785,11.684224768644,0.000630322437370803
"799",1,"799","ANXA2",4.45918296538055,8.85312491577787,13.2564760339256,0.000271639812391914
"893",1,"893","APOC1",1.77197980604265,8.2452228926514,11.2571821347093,0.000793155249941884
"940",-1,"940","ARF1",-2.18553302966468,6.80116245120455,14.6654427021659,0.000128378513482278
"978",-1,"978","ARHGAP28",-2.1223344819596,2.58181183046679,14.6525169533357,0.000129261914203586
"997",1,"997","ARHGDIB",2.13839233432751,6.94104598485698,12.6022064307325,0.000385291661473078
"1181",-1,"1181","ASPN",-2.42612630315345,6.49500854592799,12.0548107769104,0.000516588916447252
"1250",1,"1250","ATP11C",2.30009885680095,2.43831564695003,16.2704801565748,5.49128124419175e-05
"1254",1,"1254","ATP13A3",2.60141057893816,6.86694777991722,12.693695744023,0.000366890415695343
"1283",-1,"1283","ATP5F1A",-5.69651713305211,8.16609767283981,17.4415961888433,2.96271163799516e-05
"1290",1,"1290","ATP5MC2",4.99270994416547,6.91738913378438,14.4146003260725,0.000146660807613819
"1298",-1,"1298","ATP5PD",-1.69503057816362,6.77222112899475,10.7403313638568,0.00104825562431078
"1421",-1,"1421","B4GALT1",-1.97217045537501,6.08841089195796,13.8864732554628,0.000194191062518117
"1448",1,"1448","BAG6",2.38940179854094,6.57470230777408,11.4783744795711,0.000704106863893531
"1452",1,"1452","BAIAP2",2.58736514961297,3.58623257017649,19.2438949965043,1.15037655230745e-05
"1532",-1,"1532","BCL3",-2.10374402171872,4.55705192981287,10.8308452523673,0.000998230575978172
"1565",-1,"1565","BEND7",-2.93972010820311,4.52359971308185,11.7353430156442,0.00061324280917038
"1588",1,"1588","BHLHE41",2.3771369642518,6.98737991122176,16.858220382099,4.02784956336829e-05
"1593",1,"1593","BICD2",2.04577076310507,2.95330640762572,12.2938359822612,0.000454456716116148
"1716",1,"1716","BRI3",2.79119826516359,7.28208631201536,15.6098885622687,7.78464179072533e-05
"1729",1,"1729","BROX",2.09818977437116,6.0733587783495,14.8885913840167,0.000114050652854529
"1789",1,"1789","BUD23",3.00182704091667,5.66786014034782,24.6394476530469,6.91222076062803e-07
"1898",1,"1898","C1orf116",2.4566926876824,3.52374276345796,17.9829953956001,2.22887137343288e-05
"1950",-1,"1950","C20orf85",-2.67958088015885,2.86812577546927,17.0945426800362,3.55643520772606e-05
"2087",1,"2087","CA3",2.19938828957635,6.00872332652519,15.5394701698036,8.0800438733437e-05
"2161",-1,"2161","CALCRL",-2.66401397292313,3.56209569129132,11.9132000784955,0.000557375672816757
"2228",-1,"2228","CAPS",-2.41668164557342,6.3924316268886,12.6668522221787,0.00037219562553175
"2250",1,"2250","CARMIL1",2.09366116542847,2.41424396310606,13.9420292171378,0.000188535370715048
