"","genes","probe_id","logFC","logCPM","LR","PValue","sig","change"
"1","A1BG","229819_at",0.177749274683298,3.15217140701959,0.0818746724029147,0.774772806188267,"FALSE","NOT"
"2","A1BG-AS1","232462_s_at",0.0386478298210225,1.11471828937465,0.00625807549197566,0.936946721242776,"FALSE","NOT"
"3","A1CF","241547_at",0.314058454477084,1.84339147307992,0.326797212496077,0.567551119332764,"FALSE","NOT"
"4","A2M","217757_at",2.3686440091249,6.36948885766766,5.73423929936875,0.0166372727540026,"TRUE","UP"
"5","A2M-AS1","1564139_at",-1.00213723606888,4.14954670834788,2.15291990789276,0.142299039424341,"FALSE","NOT"
"6","A2ML1","1564307_a_at",-1.20148215942801,0.559257401622533,3.6964690734221,0.0545277443373652,"FALSE","NOT"
"7","A2MP1","236394_at",0.142954794090371,2.29562886751901,0.0673220477874903,0.795276540628759,"FALSE","NOT"
"8","A4GALT","219488_at",-0.22664933172158,3.24647695788546,0.169680988569358,0.680395478945382,"FALSE","NOT"
"9","A4GNT","221131_at",-0.463238208220491,1.06946951180936,0.75273229215911,0.385612547301649,"FALSE","NOT"
"10","AA06","241552_at",-0.0199493777834557,-0.491733347955684,0.00150228654300966,0.969082261349248,"FALSE","NOT"
"11","AAAS","218075_at",-0.11928789004837,2.38325941711321,0.0508931191705919,0.821516403923895,"FALSE","NOT"
"12","AACS","218434_s_at",0.116137679323501,4.7875712366449,0.0399680612416375,0.841543041181606,"FALSE","NOT"
"13","AACSP1","1570020_at",0.366786086833286,-0.878687448368797,0.287705921555959,0.591694394031499,"FALSE","NOT"
"14","AADAC","205969_at",-0.977780962619529,1.00237611922605,2.18372906681889,0.139476155073943,"FALSE","NOT"
"15","AADACL2","240420_at",-0.272148626672866,-1.46160489406634,0.225715906410659,0.634718776558629,"FALSE","NOT"
"16","AADACP1","1569582_at",-2.03423914151793,0.500030609674126,8.64371998678808,0.00328190632204822,"TRUE","DOWN"
"17","AADAT","223593_at",-1.05572335360627,3.51947414263804,2.0672030708965,0.150497300833591,"FALSE","NOT"
"18","AAGAB","202852_s_at",0.0291903446752635,4.43794327319452,0.00313013063374257,0.955383574449518,"FALSE","NOT"
"19","AAK1","238100_at",1.09733637433451,0.0250016066639621,4.28891846058723,0.0383615608880854,"TRUE","NOT"
"20","AAMDC","221600_s_at",0.958909557259502,4.82083015041069,1.17393854675218,0.278593450630729,"FALSE","NOT"
"21","AAMP","201511_at",0.152655767533003,5.76949531614632,0.0663075869539327,0.796790811530053,"FALSE","NOT"
"22","AANAT","207225_at",0.128796682217776,-2.30675654150145,0.0387561530633017,0.843932537964211,"FALSE","NOT"
"23","AAR2","218089_at",-0.122963683510927,5.29386773264243,0.0412063472866748,0.839140139180619,"FALSE","NOT"
"24","AARS1","201000_at",0.254724661056061,6.37487962616473,0.207013640125638,0.649118219831434,"FALSE","NOT"
"25","AARS2","231845_at",0.0419379815006429,4.60618012312833,0.00584051832745835,0.939082345871455,"FALSE","NOT"
"26","AASDH","235435_at",-0.108632792731661,5.08006717839204,0.037828240890363,0.845788439486915,"FALSE","NOT"
"27","AASDHPPT","224313_at",-1.04725175802652,4.6101990926613,1.70919954128301,0.191089258865521,"FALSE","NOT"
"28","AASS","214829_at",-1.35190855898609,3.8607948351954,2.37903420395576,0.122973552514375,"FALSE","NOT"
"29","AATBC","1563088_a_at",0.0413946857554404,2.89100824899156,0.0058767647683311,0.938893978661807,"FALSE","NOT"
"30","AATF","209165_at",0.11700790333901,5.59091193480862,0.0430446534219797,0.835641215085126,"FALSE","NOT"
"31","AATK","205986_at",0.162117049143807,3.46862599124154,0.0960290385546676,0.75664801078552,"FALSE","NOT"
"32","ABAT","209460_at",-1.74337906920967,3.6307290785128,5.64164589771999,0.0175387348698659,"TRUE","NOT"
"33","ABCA1","216066_at",3.67119665070627,6.65838366948238,29.9185086182387,4.50590970322076e-08,"TRUE","UP"
"34","ABCA11P","220159_at",-0.650849922559037,3.32067034913074,0.855720437161366,0.354939074598697,"FALSE","NOT"
"35","ABCA12","215465_at",0.405197328015069,1.30825770279412,0.742586435431784,0.388833608270215,"FALSE","NOT"
"36","ABCA13","1553605_a_at",-0.35194316281781,1.09424212463652,0.353691601159072,0.552030806500037,"FALSE","NOT"
"37","ABCA17P","231164_at",0.776102238002731,1.40369534568887,1.60961937415916,0.204545314613594,"FALSE","NOT"
"38","ABCA2","212772_s_at",-0.509155559661553,1.5569297922749,0.894586484807245,0.344237432986886,"FALSE","NOT"
"39","ABCA3","204343_at",0.334377813656553,2.80580762973393,0.422633988386337,0.515625652895541,"FALSE","NOT"
"40","ABCA4","210082_at",2.21749944176424,3.11509311358871,8.56010367647164,0.00343609852621551,"TRUE","UP"
"41","ABCA5","241705_at",1.49406805608739,4.06014593754475,5.03377079366782,0.0248577211092631,"TRUE","NOT"
"42","ABCA6","217504_at",-0.977528625684883,2.98945495449301,2.14827337351558,0.142730323937811,"FALSE","NOT"
"43","ABCA7","219577_s_at",-0.165430938561941,3.93188535936306,0.125580837014525,0.723058717227891,"FALSE","NOT"
"44","ABCA8","204719_at",-2.14158017731237,2.6594289207325,13.0969638556313,0.000295774763987436,"TRUE","DOWN"
"45","ABCA9","242541_at",-1.55296503708484,2.74097406424125,2.66513866431845,0.102568885502881,"FALSE","NOT"
"46","ABCB1","243951_at",-2.44048375742684,4.02002112095959,7.62163547364316,0.00576721625349765,"TRUE","DOWN"
"47","ABCB10","223320_s_at",0.164077635959604,5.33476009098708,0.0750534945247665,0.784116184793087,"FALSE","NOT"
"48","ABCB11","211224_s_at",-0.498726197104455,-0.414172210117735,0.93677138951724,0.333109543133925,"FALSE","NOT"
"49","ABCB4","207819_s_at",-0.0177721967448927,1.4718501203032,0.00116521076578202,0.97276935229418,"FALSE","NOT"
"50","ABCB5","243167_at",-0.245776816187207,1.3237569505735,0.270365138061653,0.603086939751622,"FALSE","NOT"
"51","ABCB6","203192_at",1.09519939845593,2.303653940155,1.71696407880897,0.190084304158655,"FALSE","NOT"
"52","ABCB7","209620_s_at",0.109438747383414,5.20152969632954,0.0388740717299569,0.843698350450638,"FALSE","NOT"
"53","ABCB8","229539_at",0.32203789008198,1.34382812795556,0.405313030618713,0.524358063852164,"FALSE","NOT"
"54","ABCB9","214209_s_at",0.708189418484985,1.48197537629849,1.13884066242059,0.285897434705364,"FALSE","NOT"
"55","ABCC1","202805_s_at",-0.544755826533534,6.53073296405197,0.783266036904138,0.376144127156099,"FALSE","NOT"
"56","ABCC10","215873_x_at",-0.190077158771631,4.85462782244323,0.109068067129932,0.741207632636031,"FALSE","NOT"
"57","ABCC11","224146_s_at",-0.343476051751956,0.440549569202355,0.231222614942775,0.630618756126967,"FALSE","NOT"
"58","ABCC12","1553410_a_at",-0.00625881213992398,-1.74492676122901,8.2150597980557e-05,0.992768315349058,"FALSE","NOT"
"59","ABCC13","233371_at",-1.04368075934206,0.283190083605634,1.55781641695588,0.211985225418474,"FALSE","NOT"
"60","ABCC2","206155_at",1.70900873854791,0.375495730609822,8.89799692774124,0.00285483655131708,"TRUE","NOT"
"61","ABCC3","242553_at",1.54895910484174,4.04824384963255,7.66243490435278,0.00563823616101244,"TRUE","NOT"
"62","ABCC4","243928_s_at",-1.36776361003092,3.64182312543343,6.80161042698815,0.0091075687088722,"TRUE","NOT"
"63","ABCC5","226363_at",-0.343805370527351,4.27873318829159,0.109413218717165,0.740813169286034,"FALSE","NOT"
"64","ABCC6","215559_at",-0.158858322695101,-1.35824666222876,0.0535812706137131,0.816944806859953,"FALSE","NOT"
"65","ABCC6P1","236205_at",0.412757710291267,0.193245664724433,0.707810303399656,0.400171697881747,"FALSE","NOT"
"66","ABCC8","210246_s_at",0.0244762515385052,-1.04109100643722,0.00180604430609332,0.966102040887287,"FALSE","NOT"
"67","ABCC9","235578_at",-0.276262913989923,1.01311605320051,0.174616129735963,0.676041474078959,"FALSE","NOT"
"68","ABCD1","205142_x_at",0.443028018217847,2.38761829253368,0.906831994689028,0.340956383377698,"FALSE","NOT"
"69","ABCD2","207583_at",-0.233387157242158,-0.358552323614662,0.26317072334948,0.607950145744298,"FALSE","NOT"
"70","ABCD3","202850_at",1.90634885582741,5.62739776359925,12.7756111698783,0.000351167864576578,"TRUE","UP"
"71","ABCD4","203982_s_at",-0.717007712350994,4.54595637677773,1.11766882091961,0.290420971358276,"FALSE","NOT"
"72","ABCE1","201873_s_at",0.0401661304987768,6.54998348234095,0.00548671838821568,0.940952787553415,"FALSE","NOT"
"73","ABCF1","200045_at",0.215206767415844,5.90924274356743,0.162333889397324,0.687016788780383,"FALSE","NOT"
"74","ABCF2","214232_at",-0.416071613516696,3.78830882552636,0.34816232842072,0.555155239255032,"FALSE","NOT"
"75","ABCF3","202394_s_at",0.106998691098869,5.01837454963052,0.0413113517588073,0.838938116490427,"FALSE","NOT"
"76","ABCG1","232081_at",0.166235518606612,4.82843190952274,0.0870815866159944,0.767920626303244,"FALSE","NOT"
"77","ABCG2","209735_at",-1.07403921182286,4.79541354491734,2.63016451313678,0.104850848909545,"FALSE","NOT"
"78","ABCG4","207593_at",0.149899266059546,1.39233875749478,0.0767925123766391,0.781692096467424,"FALSE","NOT"
"79","ABCG5","220383_at",-0.467215104565323,-0.687010370384467,0.479233248984329,0.488769828724597,"FALSE","NOT"
"80","ABCG8","231751_at",-0.334856836877831,-1.17242581703677,0.381450869393641,0.536827776674562,"FALSE","NOT"
"81","ABHD1","236461_at",-0.0971133853678571,0.94120859471392,0.0300129999703678,0.862460736458132,"FALSE","NOT"
"82","ABHD10","222697_s_at",0.574160739665927,4.8448607007033,0.948670562948116,0.33005792506503,"FALSE","NOT"
"83","ABHD11","221927_s_at",-0.621763875779268,3.38875296728877,0.621977594405596,0.430313347551347,"FALSE","NOT"
"84","ABHD12","228124_at",0.166506174406152,5.12421471787148,0.085106215734875,0.770493301973336,"FALSE","NOT"
"85","ABHD12B","237974_at",-0.211249931447596,0.369721516451295,0.214309157532018,0.643410693204091,"FALSE","NOT"
