"automated_textmining","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.358","0.133","0.419","0.0","814.0","0.0","0","0.0","interacts with","ABRACL (interacts with) TMX1","0","false","interacts with","ABRACL (interacts with) TMX1"
"0.972","0.0","0.996","0.0","694.4569978495595","0.862","0","0.0","interacts with","ACAP2 (interacts with) RAB35","0","false","interacts with","ACAP2 (interacts with) RAB35"
"0.369","0.081","0.41","0.0","340.00073344331827","0.063","0","0.0","interacts with","ACAP2 (interacts with) GGA3","0","false","interacts with","ACAP2 (interacts with) GGA3"
"0.545","0.062","0.554","0.0","690.7541885104946","0.0","0","0.0","interacts with","ACE (interacts with) MMP2","0","false","interacts with","ACE (interacts with) MMP2"
"0.41","0.0","0.41","0.0","2906.72062033478","0.0","0","0.0","interacts with","ACE (interacts with) SBF2","0","false","interacts with","ACE (interacts with) SBF2"
"0.431","0.0","0.431","0.0","861.166404545379","0.0","0","0.0","interacts with","ACE (interacts with) GPR133","0","false","interacts with","ACE (interacts with) GPR133"
"0.521","0.062","0.531","0.0","756.6568717724984","0.0","0","0.0","interacts with","ACE (interacts with) BCHE","0","false","interacts with","ACE (interacts with) BCHE"
"0.619","0.0","0.619","0.0","234.13569721309008","0.0","0","0.0","interacts with","ACE (interacts with) IDE","0","false","interacts with","ACE (interacts with) IDE"
"0.402","0.0","0.402","0.0","846.3809277417878","0.0","0","0.0","interacts with","ACE (interacts with) HP","0","false","interacts with","ACE (interacts with) HP"
"0.432","0.062","0.445","0.0","354.6244817505902","0.0","0","0.0","interacts with","ACE (interacts with) MMP1","0","false","interacts with","ACE (interacts with) MMP1"
"0.437","0.062","0.449","0.0","1355.8838505429985","0.0","0","0.0","interacts with","ACE (interacts with) IRS1","0","false","interacts with","ACE (interacts with) IRS1"
"0.451","0.0","0.451","0.0","1178.9815229263563","0.0","0","0.0","interacts with","ACE (interacts with) FOS","0","false","interacts with","ACE (interacts with) FOS"
"0.453","0.049","0.458","0.0","1359.9642476361134","0.0","0","0.0","interacts with","ACE (interacts with) LRRK2","0","false","interacts with","ACE (interacts with) LRRK2"
"0.479","0.0","0.479","0.0","701.7756766308845","0.0","0","0.0","interacts with","ACE (interacts with) SPP1","0","false","interacts with","ACE (interacts with) SPP1"
"0.517","0.062","0.528","0.0","290.8182405404488","0.0","0","0.0","interacts with","ACE (interacts with) LCN2","0","false","interacts with","ACE (interacts with) LCN2"
"0.535","0.063","0.545","0.0","530.808773275722","0.0","0","0.0","interacts with","ACE (interacts with) ADM","0","false","interacts with","ACE (interacts with) ADM"
"0.568","0.0","0.568","0.0","237.301478391687","0.0","0","0.0","interacts with","ACE (interacts with) B2M","0","false","interacts with","ACE (interacts with) B2M"
"0.591","0.063","0.601","0.0","507.34187081452984","0.0","0","0.0","interacts with","ACE (interacts with) CTGF","0","false","interacts with","ACE (interacts with) CTGF"
"0.602","0.084","0.621","0.0","812.9818328030681","0.0","0","0.0","interacts with","ACE (interacts with) MMP9","0","false","interacts with","ACE (interacts with) MMP9"
"0.86","0.062","0.863","0.0","499.42221804543715","0.0","0","0.0","interacts with","ACE (interacts with) NR3C2","0","false","interacts with","ACE (interacts with) NR3C2"
"0.862","0.062","0.865","0.0","475.352999448965","0.0","0","0.0","interacts with","ACE (interacts with) MME","0","false","interacts with","ACE (interacts with) MME"
"0.41","0.089","0.447","0.0","181.42352153844175","0.0","0","0.0","interacts with","ACLY (interacts with) ALDOA","0","false","interacts with","ACLY (interacts with) ALDOA"
"0.446","0.062","0.461","0.0","142.3159841367233","0.0","0","0.0","interacts with","ACLY (interacts with) PDK1","0","false","interacts with","ACLY (interacts with) PDK1"
"0.492","0.063","0.504","0.0","703.1846770438714","0.0","0","0.0","interacts with","ACLY (interacts with) ACSL5","0","false","interacts with","ACLY (interacts with) ACSL5"
"0.076","0.062","0.53","0.0","956.0463774423954","0.486","0","0.0","interacts with","ACLY (interacts with) LRRK2","0","false","interacts with","ACLY (interacts with) LRRK2"
"0.583","0.062","0.592","0.0","42.17375861877503","0.0","0","0.0","interacts with","ACLY (interacts with) HK2","0","false","interacts with","ACLY (interacts with) HK2"
"0.641","0.165","0.718","0.0","152.01563336588404","0.0","0","0.0","interacts with","ACLY (interacts with) IDH2","0","false","interacts with","ACLY (interacts with) IDH2"
"0.779","0.063","0.784","0.0","230.90542076603487","0.0","0","0.0","interacts with","ACLY (interacts with) SREBF1","0","false","interacts with","ACLY (interacts with) SREBF1"
"0.196","0.062","0.672","0.6","241.73232344838854","0.0","0","0.0","interacts with","ACSL5 (interacts with) LIPG","0","false","interacts with","ACSL5 (interacts with) LIPG"
"0.421","0.215","0.526","0.0","263.79609465182244","0.0","0","0.0","interacts with","ACSL5 (interacts with) PEX11A","0","false","interacts with","ACSL5 (interacts with) PEX11A"
"0.081","0.512","0.532","0.0","384.6839581023877","0.0","0","0.0","interacts with","ACSL5 (interacts with) PEX3","0","false","interacts with","ACSL5 (interacts with) PEX3"
"0.181","0.532","0.6","0.0","814.0","0.0","0","0.0","interacts with","ADAMDEC1 (interacts with) CXCL9","0","false","interacts with","ADAMDEC1 (interacts with) CXCL9"
"0.72","0.0","0.72","0.0","292.223146991695","0.0","0","0.0","interacts with","ADHFE1 (interacts with) C8orf46","0","false","interacts with","ADHFE1 (interacts with) C8orf46"
"0.101","0.063","0.443","0.0","902.2818220671123","0.373","0","0.0","interacts with","ADHFE1 (interacts with) MAT2A","0","false","interacts with","ADHFE1 (interacts with) MAT2A"
"0.601","0.125","0.674","0.0","240.61305123823294","0.0","0","0.0","interacts with","ADHFE1 (interacts with) EPHX2","0","false","interacts with","ADHFE1 (interacts with) EPHX2"
"0.468","0.0","0.563","0.0","283.1912267242787","0.213","0","0.0","interacts with","ADM (interacts with) MME","0","false","interacts with","ADM (interacts with) MME"
"0.482","0.0","0.482","0.0","9.0","0.0","0","0.0","interacts with","AKAP12 (interacts with) HPGD","0","false","interacts with","AKAP12 (interacts with) HPGD"
"0.412","0.0","0.412","0.0","814.0","0.0","0","0.0","interacts with","AKAP12 (interacts with) MAL","0","false","interacts with","AKAP12 (interacts with) MAL"
"0.439","0.0","0.439","0.0","1693.1577149807974","0.0","0","0.0","interacts with","AKAP12 (interacts with) CYTH1","0","false","interacts with","AKAP12 (interacts with) CYTH1"
"0.415","0.069","0.432","0.0","212.7764436205796","0.0","0","0.0","interacts with","AKAP12 (interacts with) MARCKS","0","false","interacts with","AKAP12 (interacts with) MARCKS"
"0.83","0.079","0.702","0.0","1004.2717517160656","0.675","0","0.945","interacts with","AKIRIN1 (interacts with) AKIRIN2","0","false","interacts with","AKIRIN1 (interacts with) AKIRIN2"
"0.43","0.0","0.43","0.0","331.2421713901604","0.0","0","0.0","interacts with","AKIRIN1 (interacts with) MAMDC2","0","false","interacts with","AKIRIN1 (interacts with) MAMDC2"
"0.418","0.0","0.418","0.0","1804.2717517160652","0.0","0","0.0","interacts with","AKIRIN2 (interacts with) RPL27A","0","false","interacts with","AKIRIN2 (interacts with) RPL27A"
"0.57","0.087","0.829","0.6","140.98415635532956","0.0","0","0.0","interacts with","ALDOA (interacts with) HK2","0","false","interacts with","ALDOA (interacts with) HK2"
"0.39","0.181","0.513","0.0","792.8203019441931","0.103","0","0.0","interacts with","ALDOA (interacts with) P4HB","0","false","interacts with","ALDOA (interacts with) P4HB"
"0.431","0.0","0.431","0.0","741.4428096353981","0.0","0","0.0","interacts with","ALDOA (interacts with) WT1","0","false","interacts with","ALDOA (interacts with) WT1"
"0.395","0.066","0.41","0.0","151.55968746440342","0.0","0","0.0","interacts with","ALDOA (interacts with) IDH2","0","false","interacts with","ALDOA (interacts with) IDH2"
"0.042","0.062","0.414","0.0","309.57431110141465","0.4","0","0.0","interacts with","ALDOA (interacts with) PRNP","0","false","interacts with","ALDOA (interacts with) PRNP"
"0.436","0.0","0.436","0.0","283.6988667323369","0.0","0","0.0","interacts with","ALDOA (interacts with) SLC7A1","0","false","interacts with","ALDOA (interacts with) SLC7A1"
"0.505","0.082","0.526","0.0","217.0178266298983","0.0","0","0.0","interacts with","ALDOA (interacts with) PDK1","0","false","interacts with","ALDOA (interacts with) PDK1"
"0.404","0.063","0.504","0.0","653.107351229298","0.183","0","0.0","interacts with","ALDOA (interacts with) YWHAZ","0","false","interacts with","ALDOA (interacts with) YWHAZ"
"0.254","0.233","0.403","0.0","1624.0","0.0","0","0.0","interacts with","ALG10B (interacts with) UGGT2","0","false","interacts with","ALG10B (interacts with) UGGT2"
"0.43","0.0","0.43","0.0","814.0","0.0","0","0.0","interacts with","ALG10B (interacts with) CCDC65","0","false","interacts with","ALG10B (interacts with) CCDC65"
"0.396","0.049","0.401","0.0","814.0","0.0","0","0.0","interacts with","AMMECR1 (interacts with) ATP13A3","0","false","interacts with","AMMECR1 (interacts with) ATP13A3"
"0.575","0.0","0.575","0.0","814.0","0.0","0","0.0","interacts with","AMN1 (interacts with) TPX2","0","false","interacts with","AMN1 (interacts with) TPX2"
"0.537","0.111","0.822","0.0","1825.1885867072945","0.604","0","0.0","interacts with","ANAPC4 (interacts with) HSPB11","0","false","interacts with","ANAPC4 (interacts with) HSPB11"
"0.265","0.082","0.9","0.6","950.8274544037013","0.675","0","0.0","interacts with","ANAPC4 (interacts with) CCNA2","0","false","interacts with","ANAPC4 (interacts with) CCNA2"
"0.0","0.065","0.641","0.0","482.72171156276914","0.632","0","0.0","interacts with","ANAPC4 (interacts with) RRM2","0","false","interacts with","ANAPC4 (interacts with) RRM2"
"0.184","0.062","0.988","0.6","285.1432134322817","0.965","0","0.0","interacts with","ANAPC4 (interacts with) NEK2","0","false","interacts with","ANAPC4 (interacts with) NEK2"
"0.346","0.19","0.447","0.0","289.06952672807273","0.0","0","0.0","interacts with","ANAPC4 (interacts with) TTK","0","false","interacts with","ANAPC4 (interacts with) TTK"
"0.557","0.062","0.998","0.8","304.4328537640132","0.983","0","0.0","interacts with","ANAPC4 (interacts with) CDC20","0","false","interacts with","ANAPC4 (interacts with) CDC20"
"0.262","0.062","0.699","0.6","267.50118612381567","0.0","0","0.0","interacts with","ANAPC4 (interacts with) PTTG1","0","false","interacts with","ANAPC4 (interacts with) PTTG1"
"0.419","0.0","0.419","0.0","2.0","0.0","0","0.0","interacts with","ANGPTL1 (interacts with) BAI2","0","false","interacts with","ANGPTL1 (interacts with) BAI2"
"0.231","0.284","0.426","0.0","45.86414730098438","0.0","0","0.0","interacts with","ANLN (interacts with) MYBL2","0","false","interacts with","ANLN (interacts with) MYBL2"
"0.194","0.627","0.686","0.0","35.570921850540465","0.0","0","0.0","interacts with","ANLN (interacts with) NCAPH","0","false","interacts with","ANLN (interacts with) NCAPH"
"0.143","0.637","0.675","0.0","47.53786497923872","0.0","0","0.0","interacts with","ANLN (interacts with) MND1","0","false","interacts with","ANLN (interacts with) MND1"
"0.446","0.908","0.947","0.0","28.128695606237507","0.0","0","0.0","interacts with","ANLN (interacts with) DLGAP5","0","false","interacts with","ANLN (interacts with) DLGAP5"
"0.266","0.82","0.862","0.0","43.50142427045084","0.0","0","0.0","interacts with","ANLN (interacts with) NCAPG","0","false","interacts with","ANLN (interacts with) NCAPG"
"0.493","0.943","0.97","0.0","32.09726095728864","0.07","0","0.0","interacts with","ANLN (interacts with) KIF11","0","false","interacts with","ANLN (interacts with) KIF11"
"0.193","0.811","0.841","0.0","27.274200162762213","0.0","0","0.0","interacts with","ANLN (interacts with) NDC80","0","false","interacts with","ANLN (interacts with) NDC80"
"0.095","0.608","0.718","0.0","35.19018487447087","0.27","0","0.0","interacts with","ANLN (interacts with) MCM4","0","false","interacts with","ANLN (interacts with) MCM4"
"0.0","0.47","0.47","0.0","29.194178924104076","0.0","0","0.0","interacts with","ANLN (interacts with) DEPDC1B","0","false","interacts with","ANLN (interacts with) DEPDC1B"
"0.402","0.8","0.879","0.0","21.609749660378178","0.07","0","0.0","interacts with","ANLN (interacts with) CENPE","0","false","interacts with","ANLN (interacts with) CENPE"
"0.21","0.047","0.402","0.0","139.5198199140141","0.27","0","0.0","interacts with","ANLN (interacts with) NUMA1","0","false","interacts with","ANLN (interacts with) NUMA1"
"0.063","0.051","0.409","0.0","1097.6197762776642","0.389","0","0.0","interacts with","ANLN (interacts with) LYN","0","false","interacts with","ANLN (interacts with) LYN"
"0.063","0.097","0.44","0.0","117.8078138866988","0.391","0","0.0","interacts with","ANLN (interacts with) MDC1","0","false","interacts with","ANLN (interacts with) MDC1"
"0.081","0.583","0.6","0.0","17.93799777581006","0.0","0","0.0","interacts with","ANLN (interacts with) MCM10","0","false","interacts with","ANLN (interacts with) MCM10"
"0.158","0.553","0.608","0.0","30.652804284577186","0.0","0","0.0","interacts with","ANLN (interacts with) CKAP2","0","false","interacts with","ANLN (interacts with) CKAP2"
"0.17","0.561","0.62","0.0","26.707130013459906","0.0","0","0.0","interacts with","ANLN (interacts with) RAD54L","0","false","interacts with","ANLN (interacts with) RAD54L"
"0.345","0.568","0.705","0.0","18.1670155285504","0.0","0","0.0","interacts with","ANLN (interacts with) CDCA2","0","false","interacts with","ANLN (interacts with) CDCA2"
"0.456","0.569","0.756","0.0","18.160641037351237","0.0","0","0.0","interacts with","ANLN (interacts with) FAM83D","0","false","interacts with","ANLN (interacts with) FAM83D"
"0.294","0.68","0.764","0.0","43.42211661896129","0.0","0","0.0","interacts with","ANLN (interacts with) PTTG1","0","false","interacts with","ANLN (interacts with) PTTG1"
"0.207","0.729","0.776","0.0","69.55024745063294","0.0","0","0.0","interacts with","ANLN (interacts with) FOXM1","0","false","interacts with","ANLN (interacts with) FOXM1"
"0.149","0.79","0.814","0.0","17.837310661380165","0.0","0","0.0","interacts with","ANLN (interacts with) DEPDC1","0","false","interacts with","ANLN (interacts with) DEPDC1"
"0.222","0.777","0.819","0.0","22.33826967045647","0.0","0","0.0","interacts with","ANLN (interacts with) HJURP","0","false","interacts with","ANLN (interacts with) HJURP"
"0.18","0.791","0.821","0.0","86.09762664761003","0.0","0","0.0","interacts with","ANLN (interacts with) EXO1","0","false","interacts with","ANLN (interacts with) EXO1"
"0.473","0.608","0.836","0.0","30.030704303925138","0.27","0","0.0","interacts with","ANLN (interacts with) SHCBP1","0","false","interacts with","ANLN (interacts with) SHCBP1"
"0.429","0.749","0.85","0.0","87.30940023972697","0.0","0","0.0","interacts with","ANLN (interacts with) NUF2","0","false","interacts with","ANLN (interacts with) NUF2"
"0.423","0.747","0.852","0.0","27.979398630590136","0.07","0","0.0","interacts with","ANLN (interacts with) KIF15","0","false","interacts with","ANLN (interacts with) KIF15"
"0.369","0.794","0.865","0.0","76.3228208158997","0.0","0","0.0","interacts with","ANLN (interacts with) RRM2","0","false","interacts with","ANLN (interacts with) RRM2"
"0.359","0.739","0.867","0.0","22.664072283542172","0.27","0","0.0","interacts with","ANLN (interacts with) NEK2","0","false","interacts with","ANLN (interacts with) NEK2"
"0.245","0.833","0.868","0.0","39.4003256031152","0.0","0","0.0","interacts with","ANLN (interacts with) TTK","0","false","interacts with","ANLN (interacts with) TTK"
"0.405","0.789","0.869","0.0","35.95357294356699","0.0","0","0.0","interacts with","ANLN (interacts with) CDC20","0","false","interacts with","ANLN (interacts with) CDC20"
