"change","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"UP","Cluster 1","Clustered","33.00487804878048","PBK","false","PBK"
"UP","Cluster 1","Clustered","33.00487804878048","NDC80","false","NDC80"
"UP","Cluster 1","Clustered","33.00487804878048","RRM2","false","RRM2"
"UP","Cluster 1","Clustered","33.215384615384615","FOXM1","false","FOXM1"
"UP","Cluster 1","Clustered","33.00487804878048","HMMR","false","HMMR"
"UP","Cluster 1","Clustered","33.00487804878048","KIF11","false","KIF11"
"UP","Cluster 1","Clustered","33.00487804878048","CCNA2","false","CCNA2"
"UP","Cluster 1","Clustered","34.0","FAM83D","false","FAM83D"
"UP","Cluster 1","Clustered","33.00487804878048","MELK","false","MELK"
"UP","Cluster 1","Clustered","33.00487804878048","NCAPG","false","NCAPG"
"UP","Cluster 1","Clustered","33.7957957957958","CDCA2","false","CDCA2"
"UP","Cluster 1","Clustered","33.00487804878048","DLGAP5","false","DLGAP5"
"UP","Cluster 1","Clustered","33.00487804878048","TPX2","false","TPX2"
"UP","Cluster 1","Clustered","33.00487804878048","CDCA8","false","CDCA8"
"UP","Cluster 1","Clustered","33.5647226173542","RAD54L","false","RAD54L"
"UP","Cluster 1","Clustered","32.0","MND1","false","MND1"
"UP","Cluster 1","Clustered","28.766129032258064","CKAP2","false","CKAP2"
"UP","Cluster 1","Clustered","33.00487804878048","NCAPH","false","NCAPH"
"UP","Cluster 1","Clustered","33.00487804878048","MCM10","false","MCM10"
"UP","Cluster 1","Clustered","32.48364153627311","MYBL2","false","MYBL2"
"UP","Cluster 1","Clustered","33.00487804878048","KIF20A","false","KIF20A"
"UP","Cluster 1","Clustered","33.7957957957958","ANLN","false","ANLN"
"UP","Cluster 1","Clustered","31.885918003565063","UHRF1","false","UHRF1"
"UP","Cluster 1","Clustered","33.00487804878048","KIF15","false","KIF15"
"UP","Cluster 1","Clustered","33.00487804878048","CEP55","false","CEP55"
"UP","Cluster 1","Clustered","31.695238095238096","E2F8","false","E2F8"
"UP","Cluster 1","Clustered","33.7957957957958","NUF2","false","NUF2"
"UP","Cluster 1","Clustered","33.00487804878048","ASPM","false","ASPM"
"UP","Cluster 1","Clustered","33.215384615384615","PTTG1","false","PTTG1"
"UP","Cluster 1","Seed","34.0","SHCBP1","false","SHCBP1"
"UP","Cluster 1","Clustered","33.00487804878048","TOP2A","false","TOP2A"
"UP","Cluster 1","Clustered","30.77896613190731","SPC25","false","SPC25"
"UP","Cluster 1","Clustered","33.00487804878048","CENPE","false","CENPE"
"UP","Cluster 1","Clustered","33.00487804878048","CDC20","false","CDC20"
"UP","Cluster 1","Clustered","33.00487804878048","EXO1","false","EXO1"
"UP","Cluster 1","Clustered","33.00487804878048","CENPF","false","CENPF"
"UP","Cluster 1","Clustered","34.0","DEPDC1B","false","DEPDC1B"
"UP","Cluster 1","Clustered","33.00487804878048","TTK","false","TTK"
"UP","Cluster 1","Clustered","33.00487804878048","HJURP","false","HJURP"
"UP","Cluster 1","Clustered","33.7957957957958","KIF14","false","KIF14"
"UP","Cluster 1","Clustered","32.0","MCM4","false","MCM4"
"UP","Cluster 1","Clustered","33.215384615384615","NEK2","false","NEK2"
"UP","Cluster 1","Clustered","33.7957957957958","DEPDC1","false","DEPDC1"
