"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1",,"Unclustered","3.0","ABCA1","false","ABCA1"
"-1",,"Unclustered","1.6666666666666667","PDK4","false","PDK4"
"1","Cluster 1","Clustered","6.578947368421053","STAT3","false","STAT3"
"1",,"Unclustered","0.5","NPC1","false","NPC1"
"-1",,"Unclustered","0.0","TRIB1","false","TRIB1"
"-1",,"Unclustered","0.0","MYLIP","false","MYLIP"
"1","Cluster 3","Clustered","4.0","DMD","false","DMD"
"1",,"Unclustered","1.5","SCD","false","SCD"
"1","Cluster 1","Clustered","6.347368421052631","MMP9","false","MMP9"
"1",,"Unclustered","2.0","APOC1","false","APOC1"
"1","Cluster 1","Clustered","6.347368421052631","TNF","false","TNF"
"1",,"Unclustered","3.0","FLOT1","false","FLOT1"
"-1",,"Unclustered","2.0","ACAA2","false","ACAA2"
,,"Unclustered","2.878787878787879","ATP5A1","false","ATP5A1"
"-1",,"Unclustered","2.0","PCCB","false","PCCB"
"-1",,"Unclustered","2.7","ACKR1","false","ACKR1"
"-1","Cluster 2","Clustered","7.961538461538462","VWF","true","VWF"
"-1","Cluster 2","Clustered","8.590909090909092","CDH1","true","CDH1"
"1","Cluster 1","Clustered","7.0","TFRC","false","TFRC"
"-1","Cluster 1","Clustered","6.578947368421053","CXCL12","false","CXCL12"
"-1",,"Unclustered","3.142857142857143","ACTG2","false","ACTG2"
"1","Cluster 1","Clustered","7.0","VCL","false","VCL"
"-1","Cluster 1","Clustered","7.0","WASL","false","WASL"
"-1","Cluster 2","Clustered","9.0","COL1A1","true","COL1A1"
"-1","Cluster 2","Clustered","8.0","CCT8","true","CCT8"
"-1","Cluster 2","Clustered","8.0","EEF1A1","true","EEF1A1"
"1","Cluster 2","Clustered","9.0","ANXA2","true","ANXA2"
"1","Cluster 1","Clustered","6.347368421052631","FN1","false","FN1"
"-1","Cluster 3","Clustered","4.0","TPM3","false","TPM3"
"1","Cluster 3","Clustered","5.0","ACTR2","false","ACTR2"
"1","Cluster 1","Clustered","7.0","ACTN1","false","ACTN1"
"1","Cluster 2","Clustered","8.0","CCT4","true","CCT4"
"1",,"Unclustered","3.0","ANLN","false","ANLN"
"-1","Cluster 3","Clustered","5.0","MICALL2","false","MICALL2"
"-1","Cluster 3","Clustered","5.0","PDLIM2","false","PDLIM2"
"1",,"Unclustered","2.7","SPTBN1","false","SPTBN1"
"-1","Cluster 1","Clustered","7.0","MSN","false","MSN"
"1","Cluster 1","Clustered","6.347368421052631","SRC","false","SRC"
"-1","Cluster 3","Clustered","5.0","PDLIM5","false","PDLIM5"
"1",,"Unclustered","2.0","PPP1R9B","false","PPP1R9B"
"1",,"Unclustered","3.5454545454545454","YES1","false","YES1"
"-1","Cluster 3","Clustered","4.545454545454545","PIK3R1","false","PIK3R1"
