"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","group","IsSingleNode","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.625","0.0","0.6153846153846154","1.0","6","2","-1","false","Cluster 1","Clustered","7.0","WASL","9.666666666666666","0","6","0","0.9609375","false","0","WASL","0","0.6041666666666666"
"1.4375","0.01986111111111111","0.6956521739130435","0.7222222222222222","9","2","1","false","Cluster 1","Clustered","6.578947368421053","STAT3","8.88888888888889","0","9","0","0.97265625","false","0","STAT3","20","0.5555555555555556"
"1.25","0.08097222222222222","0.8","0.5606060606060606","12","2","1","false","Cluster 1","Clustered","6.347368421052631","SRC","8.083333333333334","0","12","0","0.984375","false","0","SRC","58","0.5052083333333334"
"1.375","0.056805555555555554","0.7272727272727273","0.5777777777777777","10","2","1","false","Cluster 1","Clustered","6.347368421052631","MMP9","8.3","0","10","0","0.9765625","false","0","MMP9","38","0.51875"
"1.625","0.0","0.6153846153846154","1.0","6","2","1","false","Cluster 1","Clustered","7.0","VCL","9.666666666666666","0","6","0","0.9609375","false","0","VCL","0","0.6041666666666666"
"1.25","0.09013888888888891","0.8","0.5303030303030303","12","2","-1","false","Cluster 1","Seed","7.080882352941177","ITGB1","8.083333333333334","0","12","0","0.984375","false","0","ITGB1","62","0.5052083333333334"
"1.75","0.0020833333333333333","0.5714285714285714","0.8333333333333334","4","2","-1","false","Cluster 1","Clustered","7.0","COL12A1","8.75","0","4","0","0.953125","false","0","COL12A1","2","0.546875"
"1.6875","0.0","0.5925925925925926","1.0","5","2","-1","false","Cluster 1","Clustered","6.805555555555555","PGR","11.4","0","5","0","0.95703125","false","0","PGR","0","0.7125"
"1.0","0.29624999999999996","1.0","0.39166666666666666","16","1","1","false","Cluster 1","Clustered","6.347368421052631","FN1","6.875","0","16","0","1.0","false","0","FN1","146","0.4296875"
"1.75","0.00486111111111111","0.5714285714285714","0.6666666666666666","4","2","1","false","Cluster 1","Clustered","6.0","FSTL1","8.75","0","4","0","0.953125","false","0","FSTL1","4","0.546875"
"1.625","0.0","0.6153846153846154","1.0","6","2","-1","false","Cluster 1","Clustered","7.0","MSN","9.666666666666666","0","6","0","0.9609375","false","0","MSN","0","0.6041666666666666"
"1.625","0.0","0.6153846153846154","1.0","6","2","-1","false","Cluster 1","Clustered","6.578947368421053","CXCL12","11.5","0","6","0","0.9609375","false","0","CXCL12","0","0.71875"
"1.6875","0.0","0.5925925925925926","1.0","5","2","1","false","Cluster 1","Clustered","7.0","TFRC","11.8","0","5","0","0.95703125","false","0","TFRC","0","0.7375"
"1.625","0.0","0.6153846153846154","1.0","6","2","1","false","Cluster 1","Clustered","7.0","ACTN1","9.666666666666666","0","6","0","0.9609375","false","0","ACTN1","0","0.6041666666666666"
"1.6875","0.007638888888888889","0.5925925925925926","0.7","5","2","1","false","Cluster 1","Clustered","6.805555555555555","COL6A1","9.2","0","5","0","0.95703125","false","0","COL6A1","6","0.575"
"1.375","0.04972222222222222","0.7272727272727273","0.6","10","2","1","false","Cluster 1","Clustered","6.347368421052631","TNF","8.3","0","10","0","0.9765625","false","0","TNF","36","0.51875"
"1.75","0.0","0.5714285714285714","1.0","4","2","1","false","Cluster 1","Clustered","6.0","MMP8","11.25","0","4","0","0.953125","false","0","MMP8","0","0.703125"
