"group","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"-1","Cluster 2","Clustered","7.961538461538462","VWF","false","VWF"
"-1","Cluster 2","Clustered","8.0","RPS9","false","RPS9"
"-1","Cluster 2","Clustered","7.628571428571428","MMP2","false","MMP2"
"-1","Cluster 2","Clustered","8.0","RPL13","false","RPL13"
"-1","Cluster 2","Clustered","7.2727272727272725","KITLG","false","KITLG"
"-1","Cluster 2","Clustered","8.0","RPS14","false","RPS14"
"1","Cluster 2","Clustered","8.0","HMOX1","false","HMOX1"
"-1","Cluster 2","Clustered","8.590909090909092","SELE","false","SELE"
"1","Cluster 2","Clustered","7.5636363636363635","STAT1","false","STAT1"
"-1","Cluster 2","Clustered","8.454545454545455","ITGAX","false","ITGAX"
"-1","Cluster 2","Clustered","9.0","COL3A1","false","COL3A1"
"1","Cluster 2","Clustered","9.0","ANXA2","false","ANXA2"
"-1","Cluster 2","Seed","9.0","DCN","false","DCN"
"1","Cluster 2","Clustered","7.644444444444445","PRKCA","false","PRKCA"
"1","Cluster 2","Clustered","8.0","CCT4","false","CCT4"
"-1","Cluster 2","Clustered","8.0","EEF1A1","false","EEF1A1"
"-1","Cluster 2","Clustered","8.0","RPL35A","false","RPL35A"
"1","Cluster 2","Clustered","8.0","PSMA3","false","PSMA3"
"-1","Cluster 2","Clustered","8.0","CCT8","false","CCT8"
"-1","Cluster 2","Clustered","8.590909090909092","CDH1","false","CDH1"
"1","Cluster 2","Clustered","8.0","RPL18","false","RPL18"
"-1","Cluster 2","Clustered","9.0","COL1A1","false","COL1A1"
