"","ID","module"
"1","ABCA17P","turquoise"
"2","ABRACL","turquoise"
"3","ACAP2","turquoise"
"4","ACE","turquoise"
"9","ADCY6-DT","turquoise"
"14","ADHFE1","turquoise"
"16","ADM","turquoise"
"27","ANGPTL1","turquoise"
"28","ANLN","turquoise"
"33","ARID4A","turquoise"
"35","ARMCX4","turquoise"
"38","ASPM","turquoise"
"40","ATF2","turquoise"
"43","B2M","turquoise"
"44","B3GALNT2","turquoise"
"46","BEND6","turquoise"
"59","CA3","turquoise"
"66","CCN1","turquoise"
"73","CDC20","turquoise"
"80","CENPF","turquoise"
"81","CEP55","turquoise"
"85","CHST6","turquoise"
"88","CLEC11A","turquoise"
"91","CNTN3","turquoise"
"94","COL4A1","turquoise"
"96","CTSF","turquoise"
"97","CTSV","turquoise"
"99","CXCL10","turquoise"
"108","CYS1","turquoise"
"118","DGKE","turquoise"
"126","DOP1A","turquoise"
"130","E2F8","turquoise"
"131","ECM2","turquoise"
"132","EDN3","turquoise"
"134","EFEMP2","turquoise"
"141","EPHX2","turquoise"
"148","EXD2","turquoise"
"152","FBXL12","turquoise"
"153","FBXO17","turquoise"
"154","FBXO4","turquoise"
"155","FCRL5","turquoise"
"156","FGD6","turquoise"
"157","FGF13","turquoise"
"168","FOXJ2","turquoise"
"173","FZD10-AS1","turquoise"
"175","GABRP","turquoise"
"177","GALT","turquoise"
"178","GAS1","turquoise"
"179","GAS2L3","turquoise"
"180","GAS5","turquoise"
"183","GBP5","turquoise"
"187","GHR","turquoise"
"190","GLT8D2","turquoise"
"191","GNG11","turquoise"
"198","GPSM2","turquoise"
"201","GSPT2","turquoise"
"203","HAND2-AS1","turquoise"
"204","HAPLN1","turquoise"
"208","HEXD","turquoise"
"213","HJURP","turquoise"
"220","HSP90B1","turquoise"
"223","ID3","turquoise"
"225","IDH2","turquoise"
"239","KDM2A","turquoise"
"243","KIF11","turquoise"
"248","KLF3-AS1","turquoise"
"249","KRT6A","turquoise"
"250","KRTDAP","turquoise"
"255","LCN2","turquoise"
"257","LGALS4","turquoise"
"272","LOC101927668","turquoise"
"274","LOC105372404","turquoise"
"276","LOC105377458","turquoise"
"277","LOC158434","turquoise"
"281","LRRK2","turquoise"
"282","LRRN1","turquoise"
"284","LYN","turquoise"
"285","LYPD1","turquoise"
"286","LYPLAL1","turquoise"
"292","MAMDC2","turquoise"
"296","MAT2A","turquoise"
"297","MBLAC2","turquoise"
"305","MFSD6","turquoise"
"306","MGC70870","turquoise"
"308","MIDEAS-AS1","turquoise"
"310","MIER3","turquoise"
"311","MIGA1","turquoise"
"312","MIOS-DT","turquoise"
"313","MIR100HG","turquoise"
"319","MMP2","turquoise"
"322","MND1","turquoise"
"324","MPZL1","turquoise"
"327","MRTFB","turquoise"
"333","MYBL2","turquoise"
"334","NAA16","turquoise"
"338","NCAPG","turquoise"
"344","NEBL-AS1","turquoise"
"346","NEK2","turquoise"
"352","NPL","turquoise"
"357","NSMCE4A","turquoise"
"364","OGN","turquoise"
"368","P2RY14","turquoise"
"369","P4HB","turquoise"
"374","PAK3","turquoise"
"376","PAPLN","turquoise"
"377","PAX6","turquoise"
"379","PBK","turquoise"
"383","PDCD6","turquoise"
"388","PDS5B","turquoise"
"389","PEG3","turquoise"
"392","PEX1","turquoise"
"394","PEX3","turquoise"
"406","PNISR","turquoise"
"407","PPIF","turquoise"
"410","PRKAG2-AS1","turquoise"
"415","PSME3","turquoise"
"419","PTTG3P","turquoise"
"426","RBM20","turquoise"
"428","RBP7","turquoise"
"436","ROBO3","turquoise"
"437","RORB","turquoise"
"438","RPL27A","turquoise"
"439","RPL5","turquoise"
"440","RPS6KA2","turquoise"
"452","SDC1","turquoise"
"454","SEC16B","turquoise"
"458","SEMA5A","turquoise"
"461","SERP2","turquoise"
"463","SGPP2","turquoise"
"466","SHCBP1","turquoise"
"467","SIAH3","turquoise"
"468","SIX3","turquoise"
"473","SLC39A3","turquoise"
"477","SLC6A2","turquoise"
"479","SLC7A1","turquoise"
"480","SLITRK4","turquoise"
"483","SNRNP200","turquoise"
"497","SRPRB","turquoise"
"500","SRSF6","turquoise"
"504","STK3","turquoise"
"507","STX16","turquoise"
"512","TCEAL2","turquoise"
"513","TCEAL7","turquoise"
"514","TCF20","turquoise"
"515","TEP1","turquoise"
"524","TMEM132C","turquoise"
"530","TPX2","turquoise"
"531","TRH","turquoise"
"536","TUBE1","turquoise"
"540","UBE2Q2P13","turquoise"
"542","UBXN4","turquoise"
"545","UGGT2","turquoise"
"548","VDAC1","turquoise"
"551","VWDE","turquoise"
"559","WT1-AS","turquoise"
"561","YBX1","turquoise"
"565","ZBTB17","turquoise"
"567","ZFPM2","turquoise"
"572","ZNF300P1","turquoise"
"573","ZNF334","turquoise"
"574","ZNF396","turquoise"
"576","ZNF497-AS1","turquoise"
"577","ZNF562","turquoise"
"578","ZNF571-AS1","turquoise"
