"","ID","module"
"5","ACLY","grey"
"6","ACSL5","grey"
"7","ADAMDEC1","grey"
"8","ADAMTS9-AS2","grey"
"11","ADGRB3-DT","grey"
"12","ADGRD1","grey"
"13","ADGRG2","grey"
"15","ADIRF","grey"
"18","AKAP12","grey"
"19","AKIRIN1","grey"
"20","AKIRIN2","grey"
"21","ALDOA","grey"
"22","ALG10B","grey"
"24","AMMECR1","grey"
"26","ANAPC4","grey"
"29","ANO4","grey"
"32","ARHGAP26","grey"
"37","ASNS","grey"
"42","AZGP1","grey"
"48","BEX2","grey"
"49","BROX","grey"
"50","BUD23","grey"
"51","C10orf95-AS1","grey"
"52","C14orf28","grey"
"53","C16orf89","grey"
"54","C1GALT1C1L","grey"
"56","C2orf68","grey"
"57","C3orf38","grey"
"61","CASTOR3P","grey"
"63","CCDC160","grey"
"64","CCDC65","grey"
"68","CCNA2","grey"
"70","CCNL2","grey"
"72","CD200","grey"
"82","CES4A","grey"
"89","CNKSR2","grey"
"90","CNN1","grey"
"92","COL28A1","grey"
"93","COL2A1","grey"
"98","CUX2","grey"
"101","CXCL12","grey"
"107","CYP24A1","grey"
"110","DACT2","grey"
"112","DCAF12L1","grey"
"114","DEGS1","grey"
"115","DEPDC1","grey"
"116","DEPDC1B","grey"
"119","DHFR","grey"
"121","DLGAP5","grey"
"122","DLX6-AS1","grey"
"123","DNAJB1","grey"
"124","DNAJB4","grey"
"125","DNASE2","grey"
"133","EFEMP1","grey"
"135","EIF2S3","grey"
"136","EIF3H","grey"
"139","EOLA1-DT","grey"
"140","EPB41","grey"
"142","EPM2AIP1","grey"
"143","EPOR","grey"
"144","ERI2","grey"
"145","ESD","grey"
"147","ETS2","grey"
"159","FIP1L1","grey"
"160","FLOT2","grey"
"164","FMOD","grey"
"166","FOSB","grey"
"169","FOXL2","grey"
"171","FUT9","grey"
"172","FXYD1","grey"
"176","GADD45B","grey"
"182","GATAD1","grey"
"184","GDAP1","grey"
"185","GDI2","grey"
"189","GLIS1","grey"
"192","GNGT1","grey"
"193","GOLGA8A","grey"
"194","GOLM1","grey"
"195","GPC6","grey"
"196","GPR22","grey"
"197","GPR83","grey"
"199","GRHL1","grey"
"200","GRIP1","grey"
"202","H4C8","grey"
"205","HCG4","grey"
"207","HERPUD1","grey"
"211","HGD","grey"
"212","HILPDA","grey"
"215","HLF","grey"
"221","HSPB11","grey"
"222","HTR2B","grey"
"224","IDE","grey"
"227","IGFBPL1","grey"
"228","IGKV1-17","grey"
"229","IHH","grey"
"230","IL21R","grey"
"231","IL6ST","grey"
"233","ISG15","grey"
"234","IWS1","grey"
"235","JAZF1-AS1","grey"
"236","JPT1","grey"
"240","KHDC1","grey"
"241","KHDC4","grey"
"242","KIAA1210","grey"
"244","KIF14","grey"
"245","KIF15","grey"
"246","KIF20A","grey"
"251","LAMP3","grey"
"252","LAMP5","grey"
"254","LCAT","grey"
"256","LEF1-AS1","grey"
"258","LGSN","grey"
"259","LIN28B","grey"
"260","LINC00261","grey"
"261","LINC00323","grey"
"262","LINC00665","grey"
"264","LINC00939","grey"
"265","LINC01139","grey"
"266","LINC01354","grey"
"267","LINC02985","grey"
"268","LIPG","grey"
"269","LOC100129034","grey"
"270","LOC100505851","grey"
"271","LOC101927263","grey"
"273","LOC105371472","grey"
"275","LOC105373334","grey"
"278","LOC285097","grey"
"289","MAGEL2","grey"
"290","MAL","grey"
"294","MAPRE1","grey"
"295","MARCKS","grey"
"298","MCFD2","grey"
"299","MCM10","grey"
"300","MCM4","grey"
"301","MDC1","grey"
"303","METTL3","grey"
"304","MFAP4","grey"
"307","MICU3","grey"
"309","MIER1","grey"
"314","MIR29B2CHG","grey"
"316","MME","grey"
"317","MMP1","grey"
"318","MMP12","grey"
"320","MMP26","grey"
"321","MMP9","grey"
"323","MOB1A","grey"
"325","MRGPRF","grey"
"326","MROH7","grey"
"328","MS4A4A","grey"
"329","MSANTD2-AS1","grey"
"332","MTMR10","grey"
"335","NAALAD2","grey"
"336","NAP1L2","grey"
"339","NCAPH","grey"
"340","NDC80","grey"
"342","NDNF","grey"
"343","NDST2","grey"
"345","NECTIN2","grey"
"347","NHIP","grey"
"348","NIPAL2","grey"
"349","NLGN1","grey"
"350","NMT2","grey"
"354","NQO1","grey"
"355","NR2F1-AS1","grey"
"361","NUDT6","grey"
"362","NUF2","grey"
"370","PABPC4L","grey"
"372","PAFAH1B2","grey"
"380","PCDH10","grey"
"384","PDCD6P1","grey"
"385","PDGFC","grey"
"386","PDK1","grey"
"387","PDK4","grey"
"391","PER1","grey"
"393","PEX11A","grey"
"395","PGR","grey"
"396","PHF21B","grey"
"398","PLA2G4C","grey"
"399","PLA2R1","grey"
"400","PLAU","grey"
"401","PLAUR","grey"
"403","PLIN5","grey"
"404","PLOD2","grey"
"405","PLSCR4","grey"
"411","PRKCQ-AS1","grey"
"414","PRR14","grey"
"416","PTBP3","grey"
"417","PTPRF","grey"
"420","PWWP3B","grey"
"421","RAB35","grey"
"422","RAD54L","grey"
"423","RAPH1","grey"
"424","RARRES2","grey"
"425","RASD1","grey"
"429","REEP3","grey"
"433","REXO2","grey"
"434","RGS7BP","grey"
"435","RNF180","grey"
"441","RPS6KA6","grey"
"442","RRM2","grey"
"444","RUNX2","grey"
"446","S100A9","grey"
"448","SAE1","grey"
"449","SBF2","grey"
"453","SEC14L1P1","grey"
"455","SEC62","grey"
"459","SEMA6A","grey"
"460","SEPSECS","grey"
"462","SFRP4","grey"
"465","SH3YL1","grey"
"469","SKA2","grey"
"470","SLC16A10","grey"
"476","SLC66A2","grey"
"481","SLITRK5","grey"
"486","SNW1","grey"
"488","SOCS4","grey"
"489","SPC24","grey"
"491","SPICE1","grey"
"494","SPSB3","grey"
"496","SRI","grey"
"498","SRPX","grey"
"499","SRRM4","grey"
"502","ST14","grey"
"505","STK35","grey"
"506","STMN3","grey"
"508","SUGT1P3","grey"
"509","SULF1","grey"
"511","SYT14","grey"
"516","TES","grey"
"518","TFF3","grey"
"525","TMPRSS4","grey"
"526","TMX1","grey"
"527","TOP2A","grey"
"528","TPTE2P5","grey"
"532","TRPC1","grey"
"534","TSPYL5","grey"
"535","TTK","grey"
"538","TUNAR","grey"
"541","UBE2QL1","grey"
"543","UCA1","grey"
"544","UCP2","grey"
"547","USF3","grey"
"549","VILL","grey"
"550","VSIG2","grey"
"552","VXN","grey"
"553","WARS1","grey"
"558","WT1","grey"
"560","WWTR1","grey"
"562","YKT6","grey"
"563","YWHAZ","grey"
"564","ZBED5","grey"
"566","ZCWPW1","grey"
"568","ZMAT3","grey"
"569","ZNF25","grey"
"571","ZNF300","grey"
"575","ZNF404","grey"
"579","ZNF662","grey"
"580","ZNF667","grey"
"581","ZNF672","grey"
