#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABRACL	TMX1	9606.ENSP00000356632	9606.ENSP00000393316	0	0	0	0	0.133	0	0	0.358	0.419
ACAP2	RAB35	9606.ENSP00000324287	9606.ENSP00000229340	0	0	0	0	0	0.862	0	0.972	0.996
ACAP2	GGA3	9606.ENSP00000324287	9606.ENSP00000438085	0	0	0	0	0.081	0.063	0	0.369	0.410
ACE	MMP2	9606.ENSP00000290866	9606.ENSP00000219070	0	0	0	0	0.062	0	0	0.545	0.554
ACE	SBF2	9606.ENSP00000290866	9606.ENSP00000256190	0	0	0	0	0	0	0	0.410	0.410
ACE	GPR133	9606.ENSP00000290866	9606.ENSP00000261654	0	0	0	0	0	0	0	0.431	0.431
ACE	BCHE	9606.ENSP00000290866	9606.ENSP00000264381	0	0	0	0	0.062	0	0	0.521	0.531
ACE	IDE	9606.ENSP00000290866	9606.ENSP00000265986	0	0	0	0	0	0	0	0.619	0.619
ACE	HP	9606.ENSP00000290866	9606.ENSP00000348170	0	0	0	0	0	0	0	0.402	0.402
ACE	MMP1	9606.ENSP00000290866	9606.ENSP00000322788	0	0	0	0	0.062	0	0	0.432	0.445
ACE	IRS1	9606.ENSP00000290866	9606.ENSP00000304895	0	0	0	0	0.062	0	0	0.437	0.449
ACE	FOS	9606.ENSP00000290866	9606.ENSP00000306245	0	0	0	0	0	0	0	0.451	0.451
ACE	LRRK2	9606.ENSP00000290866	9606.ENSP00000298910	0	0	0	0	0.049	0	0	0.453	0.458
ACE	SPP1	9606.ENSP00000290866	9606.ENSP00000378517	0	0	0	0	0	0	0	0.479	0.479
ACE	LCN2	9606.ENSP00000290866	9606.ENSP00000362108	0	0	0	0	0.062	0	0	0.517	0.528
ACE	ADM	9606.ENSP00000290866	9606.ENSP00000436607	0	0	0	0	0.063	0	0	0.535	0.545
ACE	B2M	9606.ENSP00000290866	9606.ENSP00000452780	0	0	0	0	0	0	0	0.568	0.568
ACE	CTGF	9606.ENSP00000290866	9606.ENSP00000356954	0	0	0	0	0.063	0	0	0.591	0.601
ACE	MMP9	9606.ENSP00000290866	9606.ENSP00000361405	0	0	0	0	0.084	0	0	0.602	0.621
ACE	NR3C2	9606.ENSP00000290866	9606.ENSP00000350815	0	0	0	0	0.062	0	0	0.860	0.863
ACE	MME	9606.ENSP00000290866	9606.ENSP00000418525	0	0	0	0	0.062	0	0	0.862	0.865
ACLY	ALDOA	9606.ENSP00000253792	9606.ENSP00000378669	0.054	0	0	0	0.089	0	0	0.410	0.447
ACLY	PDK1	9606.ENSP00000253792	9606.ENSP00000376352	0.045	0	0	0	0.062	0	0	0.446	0.461
ACLY	ACSL5	9606.ENSP00000253792	9606.ENSP00000348429	0	0	0	0	0.063	0	0	0.492	0.504
ACLY	LRRK2	9606.ENSP00000253792	9606.ENSP00000298910	0.070	0	0	0	0.062	0.486	0	0.076	0.530
ACLY	HK2	9606.ENSP00000253792	9606.ENSP00000290573	0	0	0	0	0.062	0	0	0.583	0.592
ACLY	IDH2	9606.ENSP00000253792	9606.ENSP00000331897	0.135	0	0	0	0.165	0	0	0.641	0.718
ACLY	SREBF1	9606.ENSP00000253792	9606.ENSP00000348069	0	0	0	0	0.063	0	0	0.779	0.784
ACSL5	LIPG	9606.ENSP00000348429	9606.ENSP00000261292	0	0	0	0	0.062	0	0.600	0.196	0.672
ACSL5	PEX11A	9606.ENSP00000348429	9606.ENSP00000300056	0	0	0	0	0.215	0	0	0.421	0.526
ACSL5	PEX3	9606.ENSP00000348429	9606.ENSP00000356563	0	0	0	0	0.512	0	0	0.081	0.532
ADAMDEC1	CXCL9	9606.ENSP00000256412	9606.ENSP00000354901	0	0	0	0	0.532	0	0	0.181	0.600
ADHFE1	C8orf46	9606.ENSP00000379865	9606.ENSP00000302260	0	0	0	0	0	0	0	0.720	0.720
ADHFE1	MAT2A	9606.ENSP00000379865	9606.ENSP00000303147	0.070	0	0	0	0.063	0.373	0	0.101	0.443
ADHFE1	EPHX2	9606.ENSP00000379865	9606.ENSP00000430269	0.142	0	0	0	0.125	0	0	0.601	0.674
ADM	MME	9606.ENSP00000436607	9606.ENSP00000418525	0	0	0	0	0	0.213	0	0.468	0.563
AKAP12	HPGD	9606.ENSP00000384537	9606.ENSP00000296522	0	0	0	0	0	0	0	0.482	0.482
AKAP12	MAL	9606.ENSP00000384537	9606.ENSP00000310880	0	0	0	0	0	0	0	0.412	0.412
AKAP12	CYTH1	9606.ENSP00000384537	9606.ENSP00000354398	0	0	0	0	0	0	0	0.439	0.439
AKAP12	MARCKS	9606.ENSP00000384537	9606.ENSP00000478061	0	0	0	0	0.069	0	0	0.415	0.432
AKIRIN1	AKIRIN2	9606.ENSP00000392678	9606.ENSP00000257787	0	0	0	0.945	0.079	0.675	0	0.830	0.702
AKIRIN1	MAMDC2	9606.ENSP00000392678	9606.ENSP00000366387	0	0	0	0	0	0	0	0.430	0.430
AKIRIN2	RPL27A	9606.ENSP00000257787	9606.ENSP00000346015	0	0	0	0	0	0	0	0.418	0.418
ALDOA	HK2	9606.ENSP00000378669	9606.ENSP00000290573	0	0	0	0	0.087	0	0.600	0.570	0.829
