"","ID","module"
"25","AMN1","brown"
"30","ANTXR2","brown"
"31","AP1AR","brown"
"34","ARMCX1","brown"
"41","ATP13A3","brown"
"55","C1orf174","brown"
"60","CARS1","brown"
"65","CCL20","brown"
"67","CCN2","brown"
"69","CCNG2","brown"
"75","CDCA8","brown"
"76","CEACAM6","brown"
"77","CEBPG","brown"
"83","CFAP52","brown"
"100","CXCL11","brown"
"117","DERL1","brown"
"149","EXO1","brown"
"150","EXOC7","brown"
"158","FGF7P3","brown"
"161","FLRT1","brown"
"162","FLRT2","brown"
"165","FOS","brown"
"188","GJA5","brown"
"214","HK2","brown"
"216","HMMR","brown"
"217","HNRNPDL","brown"
"218","HP","brown"
"226","IFI30","brown"
"237","KANK4","brown"
"238","KCNH8","brown"
"253","LAPTM5","brown"
"279","LOC441179","brown"
"280","LRFN5","brown"
"283","LTF","brown"
"291","MALL","brown"
"302","MELK","brown"
"353","NPRL2","brown"
"356","NR3C2","brown"
"358","NT5E","brown"
"359","NTN4","brown"
"360","NUDT11","brown"
"363","NUMA1","brown"
"365","OMD","brown"
"366","OSR2","brown"
"367","OTUD1","brown"
"373","PAGE4","brown"
"408","PPP1R14C","brown"
"412","PRNP","brown"
"413","PROSER1","brown"
"418","PTTG1","brown"
"427","RBM24","brown"
"432","RETSAT","brown"
"447","S100P","brown"
"450","SCARNA2","brown"
"451","SCGB3A1","brown"
"456","SELENOP","brown"
"472","SLC25A21-AS1","brown"
"478","SLC6A8","brown"
"482","SLITRK6","brown"
"503","STAU1","brown"
"519","TGFBR1","brown"
"520","TGM2","brown"
"521","TK2","brown"
"523","TMEM132B","brown"
"533","TSPYL1","brown"
"537","TUBGCP3","brown"
"546","UHRF1","brown"
"554","WASIR2","brown"
"555","WBP2NL","brown"
"556","WIF1","brown"
"557","WRNIP1","brown"
"570","ZNF264","brown"
